model,prompt_version,run_id,clarity,fidelity,methodological_comments
deepseek_deepseek-r1-0528:free,picos_baseline,1,1,1,"Estrutura PICOS parcialmente respeitada; omissão recorrente de Intervenção; desfechos descritos de forma geral."
deepseek_deepseek-r1-0528:free,picos_baseline,2,0,0,"Quebra de paralelismo entre componentes; perda de detalhamento em Outcomes; inconsistência intergerações."
deepseek_deepseek-r1-0528:free,picos_baseline,3,1,0,"População e Comparador identificados, mas com variação conceitual; baixa estabilidade estrutural."
deepseek_deepseek-r1-0528:free,picos_evidence,1,2,1,"Maior granularidade factual; melhora em Outcomes; ainda dependente do prompt para manter coerência."
deepseek_deepseek-r1-0528:free,picos_evidence,2,1,1,"Conteúdo factual correto, porém com omissões seletivas; estabilidade apenas parcial."
deepseek_deepseek-r1-0528:free,picos_evidence,3,2,1,"Boa descrição dos desfechos e subgrupos; Intervenção corretamente omitida, mas sem justificativa explícita."
deepseek_deepseek-r1-0528:free,picos_structured,1,2,2,"Síntese estruturalmente alinhada ao PICOS; baixa variabilidade; comportamento metodológico aceitável."
deepseek_deepseek-r1-0528:free,picos_structured,2,2,2,"Consistência entre componentes; fidelidade elevada ao corpus; ausência de inferência indevida."
deepseek_deepseek-r1-0528:free,picos_structured,3,2,2,"Run estável e reprodutível; adequada como ferramenta auxiliar sob supervisão humana."
openai_gpt-oss-120b:free,picos_baseline,1,1,1,"Estrutura PICOS preservada mesmo com prompt simples; menor variabilidade que deepseek."
openai_gpt-oss-120b:free,picos_baseline,2,1,1,"Boa identificação de População e Desfechos; leve perda de detalhamento em subgrupos."
openai_gpt-oss-120b:free,picos_baseline,3,1,1,"Comportamento consistente; ausência de alucinação, mas síntese superficial."
openai_gpt-oss-120b:free,picos_evidence,1,2,2,"2 completude estrutural; desfechos bem delimitados; excelente aderência às instruções."
openai_gpt-oss-120b:free,picos_evidence,2,2,2,"Estabilidade intergerações; granularidade factual uniforme; comportamento metodológico sólido."
openai_gpt-oss-120b:free,picos_evidence,3,2,2,"Run praticamente idêntico aos anteriores; indica convergência estrutural."
openai_gpt-oss-120b:free,picos_structured,1,2,2,"Modelo demonstra internalização funcional do PICOS; síntese clara e reprodutível."
openai_gpt-oss-120b:free,picos_structured,2,2,2,"Máxima estabilidade observada; adequado para uso sistemático assistido."
openai_gpt-oss-120b:free,picos_structured,3,2,2,"Comportamento invariável entre runs; baixo risco metodológico."
qwen_qwen3-4b:free,picos_baseline,1,0,0,"Resposta truncada; estrutura PICOS incompleta; quebra de continuidade lógica."
qwen_qwen3-4b:free,picos_baseline,2,1,0,"População descrita, mas outcomes genéricos; ausência de paralelismo entre componentes."
qwen_qwen3-4b:free,picos_baseline,3,0,0,"2 instabilidade; perda de informações essenciais; baixa confiabilidade."
qwen_qwen3-4b:free,picos_evidence,1,1,1,"Melhora pontual na clareza; reinterpretação espontânea de Intervenção."
qwen_qwen3-4b:free,picos_evidence,2,2,1,"Run isolado com boa estrutura; não reproduzido em execuções subsequentes."
qwen_qwen3-4b:free,picos_evidence,3,0,0,"Colapso estrutural; inconsistência conceitual entre componentes."
qwen_qwen3-4b:free,picos_structured,1,1,0,"Estrutura parcialmente respeitada; instabilidade epistemológica persistente."
qwen_qwen3-4b:free,picos_structured,2,0,0,"Alta variabilidade mesmo com prompt estruturado; baixa fidelidade metodológica."
qwen_qwen3-4b:free,picos_structured,3,1,0,"Resposta plausível linguisticamente, porém não reprodutível."
